text,label
these tiktoks radiate gay chaotic energy and i love it,1
@Champions Again He got killed for using false money,1
It's not that all lives don't matter,1
Is it really that difficult to understand? Black lives matter and all lives matter are not mutually exclusive. They are both true as general statements. So are white lives matter and asian lives matter. Black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter. For example,1
Whenever we say black isn't that racists?  Why don't just say Americans.,1
Ros The Boss u don’t know that she’s actually lgbtq tho so....,1
That was funny at the end when Larry said 'What are we arguing about then'. haha but that said,1
She saves lives with her music.,1
There were a lot of Samoans in my Army unit,1
Network Engineer here- 23 and currently working as an instructor teaching men and women looking to be in IT =] Next I want to teach at a University!,0
There is justice for the natives the government literally pays us,1
she’s in the closet.,1
Injustice is the way the world works. A millionaire paying someone a few dollars to wash his car is injustice,1
@Trey Gray The Prime Minister of Holland,1
Madonna wouldn't be here if her mother had her attitude .,1
@Tea Just Tea all lives are equal is the same thing as all lives matter,1
the tech industry is tough for everyone.  Most people are pushed hard and treated like garbage,1
Why does BLM only come around every 4 years,1
Funny thing is,1
I'm still hiding my gender to my parents and they don't know I'm dating someone. My friends knows already about my gender and they are very supportive of it. And I'm very thankful to find true friends like them,0
all lives matter .without that we never have peace so to me forever all lives matter.,0
Clark thank you. I salute you.,1
@J Brown It makes it seem like my opinion doesn't matter when someone gets attacked for holding a All Lives Matter sign.,1
Yall talking lesbian but I think it more likely that's she'll come out as trans,1
France France I think you’re the one being dumb.  It’s actually very simple. Did you not know all lives include black lives? If you have a basic understanding of the English language you should understand that.,1
@Fa1con i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go,1
Randomgirlwhosings0804 Why does she feel the need to have to agree or not agree with someone’s sexuality? Why does any Christian? it’s really weird. there is nothing for you to “agree” with,0
the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having a fat guy who happens to have darkish skin is racest... the rock is the voice actor for the character and he seems to be fine with it. Next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes. its not like mr incredible who is white and sorta chubby got this kinda shit.,1
Excatly!!! Do you know that in South Korea in almost every school there they teach Americans as racist,1
The big ones stop ruling when the small ones stop crawling.nn2020 The year of the modern revolution,1
i think at that time,1
About performing at Eurovision in Tel Aviv,1
Is it wrong I laughed when he said beaten with the Bible,1
All I’m gunna say is I was Presbyterian and “didn’t agree with homosexuality” before I came out ‍,1
Thank you Madonna for EVERYTHING! You’ve helped me grow up as a kid in West Philadelphia! You inspired me greatly! Much respect and love Queen of Pop! #MadameX,1
When you've turn-off the reasonable people,1
Right...that's what he said. You have it all right,1
she is not 60. He is 60,1
@That’s the Tea sis  and thats the tea,1
White lives matter is considered racist as hell so why isn't Black Lives matter racist also.,1
The whole thing is a joke...lol  all black lives matter..and the democrats are laughing at the suckers following them down the path to socialism!....crush black lives matter   ALL LIVES MATTER!!!! Its a political move by the democratic socialist party...MAGA!!!! The media is telling and showing you what the dems want them to...except Fox News...good job!!!,1
Sunshine littlephilly I can’t even imagine how your thought process works... Do you not have the capability to shape your own opinion. Especially on a topic that DOES in fact hurt homosexual people. Whether you believe they should be harmed or not has nothing to do with it. When you publicly state a person is wrong for just living their life,1
But Sadism isnt evil is it? Unless you're sadistic to unwilling participants. Alot whats considered evil now a days depends actually more or less on your perspectiv of what happens. If i were to hit a dog,1
And short short hair—,1
No. i`m black and I`m upset by what I`ve seen. It does nobody any good.,1
it doesn't matter what your family does when you want to make a career for yourself. what matters is what you can or will do. you're in no better position then the one who comes from a poor family and also wanting to be a video game developer.,0
All lives matter.... every life fucking matters...,1
I thought I was watching a recent video but this is 4 years ago but here we are again and the same thing is going to happen,1
Where has this Sheriff been?,1
The media and crooked politicians whipped this up. We have to get rid of the lot of them with the ballot.,1
he was doing just fine before the police officer kept his knee on his neck for 8 minutes and 46 seconds,1
Bernie never lived in the hood I'd like to see him walk the streets,1
Black lives matter and not all lives?nWhat hypocrats...,1
the lesbian disagreeing with homosexuality tho. poor thing is prolly insecure abt it.,1
Police are already killing people,1
No liberals think that lmao,1
Grasielle Alison ha another mom joke,1
Can you guys stop harassing that girl for her haircut? Seriously. She doesn’t agree with homosexuality but she respects it. The least you could do is respect her back,1
jazzfan1 When I read your comment it sounds kind of dumb and racist. You act like only white people are slaying only black people daily.,1
I beg they just put it straight back up,1
Agreed! It is straight up abuse in all three formats,1
So did I. She’s clearly grooming herself and behaving in a more masculine manner. Lol when she said she didn’t agree I was like “...you don’t?”,1
@Molly Rebekah well its a hompohobic comment therefore it sucks,1
Chloe Faye I mean they are there to hear his story,1
Certainly herd mentality,1
Sasha Dumse God accepts everyone.,0
I would have asked him if he’s watched “but I’m a cheerleader”,1
I feel so base for that guy! They treated him as if he wasn’t a human just because of who he loved! 🥺,0
American Lives Matter,1
....🤔........staged set up for the coming race war... still hilarious though 🤣,1
The interviewer is HOT!!!,1
I am so glad that you made your toy!!! I wouldn't have extended my love for science!!! I feel like I don't fit in at school sometimes,0
How can all lives matter if black lives aren’t?,1
You are so right and white is a color,1
I'm so proud for her,0
We are ready meanings black people are ready for anything,1
What exactly do you want,1
She saves lives with her music.,0
that would be uhhh pure mean yes,1
@AtlantisMystic Walker #12894 rly sorry for being so mean......,1
Santiago Cr but she can move her mouth,1
Evil? I don’t think so. What a crazy statement to say about her.,1
All lives should matter.nBut Black Lives Don't seem to Matter.nThat's why there's a Black Lives Matter Movement. nUnderstanding?,1
@Alex because that's therapy u must know the truth u had,1
A A house n,1
