text,label
@arya s nair may be athile karthikayude charctr bisexual ayirikkum,1
വാങ്ങിയത് എന്ത് കുന്തം ആയാലും കളയാൻ പറ്റില്ലല്ലോ ഇനി വാങ്ങാതിരിക്കാൻ ശ്രദ്ധിക്കുക Jai India,1
മാറുമറയ്ക്കാൻ നടത്തിയ സമരം ഒരു previlege issue  ആയിരുന്നു...അത് ഈ വിഷയവുമായി കമ്പയർ ചെയ്യാൻ പറ്റില്ല.താങ്കൾ പറഞ്ഞത് തെറ്റാണ്.സാധാരണ വേഷം അണിഞ്ഞാൽ പോലും നോക്കി കൊല്ലുന്ന നാട്ടുകാർ ഉള്ളയിടത്തു ഫെമിനിസത്തിന് വസ്ത്രത്തെക്കുറിച്ചു  സംസാരിക്കേണ്ടി തന്നെ വരും...,0
ഇഷാനെ കൂടുതല് കെട്ടിപിടിക്കേണ്ട ഞങ്ങൾക്കറിയാം ഇഷാന്  സൂര്യയോട് ഇച്ചിരി കൊഞ്ചൽ കൂടുതലാണെന്ന്,1
ഇന്ത്യ ഇസ്‌ലാമിക രാജ്യമല്ല.. ഇന്ത്യൻ ഭരണഘടന മാത്രമേ ഇന്ത്യൻ പൗരന്മാർ നോക്കേണ്ടതുളൂ.  ഇന്ത്യൻ നിയമ പ്രകാരം പ്രായപൂർത്തിയായ രണ്ടുപേർക്ക് പരസ്പരം സമ്മതത്തോടെ ഒന്നിച്ചു കഴിയാൻ ഒരു തടസവും ഇല്ല.,0
Xenderin pakaram okke entha ubayokhikkuka,1
ചൈനയുടെ കാര്യം അവര് നോക്കട്ടെ.. nഇന്ത്യയിൽ പെട്രോളിന് ദിവസവും വിലക്കുട്ടി കൊണ്ടിരിക്കുകയാണ് അതിനെതിരെ പ്രതികരിക്കാൻ നോക്....,1
@Akhil Dev സോറി ഇപ്പഴാ മനസിലായത്,1
നിങ്ങൾക് നല്ലത് വരും.....,0
ഇതിന്റയൊക്കെ റേറ്റിംഗ് കൊറക്കാൻ vellaa വഴിയുണ്ടോ nTick tock ne കിട്ടിയതുപോലെ,1
Avare manasil rand pearkum purushanodaanu atracshan allaade avrod chodikarud ningalil aaraanu wifennu avare ullu manasilaakoo avar thiranjeduthad better,0
കട്ട വെയ്റ്റിംഗ് ഫോർ 1മില്യൺ 🥰,1
ഒത്തുകളിക്ക് അഭിനന്ദനങ്ങൾ ആരെങ്കിലും പറയുമോ ?,1
@S അവൻ താമസിച്ചപ്പോൾ,1
Kevin enthinaaaa padichenVattan,1
ഹോമോ സാപിയൻ HOMOSAPIENS bst,1
Kevin കൂടുതൽ പഠിക്കാൻ ഉണ്ട്‌ 🤣🤣🤣,1
Suryamma enne onnu help cheyyan pattumo aake budhimuttila kazhiyumenkil ende numberil onnu vilikko 9645309364,1
ഒരുപാട് വിലപ്പെട്ട ഇൻഫർമേഷൻ !!! ഡോക്ടറുടെ എല്ലാ വിഡിയോസും  ഞങ്ങൾക്ക് എല്ലാവർക്കും വളരെയേറെ  ഉപകാരപ്രദമാണ്...  നന്ദിയുണ്ട്...  ഇനിയും ഇത് പോലെയുള്ള വീഡിയോസ് പ്രതീക്ഷിക്കുന്നു...n ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെ,0
ലോകാവസാനം അടയാളം ഇതിനെ ഒക്കെ കാണുമ്പോൾ അതാ ഓർമ വരുന്നേ. Shame,1
