,text,label,readability,ARI
0,these tiktoks radiate gay chaotic energy and i love it,1,69.79,4.8
1,@Champions Again He got killed for using false money,1,87.72,6.1
2,It's not that all lives don't matter,1,106.67,2.3
3,Is it really that difficult to understand? Black lives matter and all lives matter are not mutually exclusive. They are both true as general statements. So are white lives matter and asian lives matter. Black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter. For example,1,72.36,8.7
4,Whenever we say black isn't that racists?  Why don't just say Americans.,1,82.31,5.1
5,Ros The Boss u don’t know that she’s actually lgbtq tho so....,1,84.68,4.6
6,That was funny at the end when Larry said 'What are we arguing about then'. haha but that said,1,104.13,2.2
7,She saves lives with her music.,1,99.23,2.0
8,There were a lot of Samoans in my Army unit,1,103.63,-0.5
9,Network Engineer here- 23 and currently working as an instructor teaching men and women looking to be in IT =] Next I want to teach at a University!,0,60.99,13.2
10,There is justice for the natives the government literally pays us,1,68.77,7.6
11,she’s in the closet.,1,118.18,0.6
12,Injustice is the way the world works. A millionaire paying someone a few dollars to wash his car is injustice,1,86.71,4.8
13,@Trey Gray The Prime Minister of Holland,1,81.29,5.0
14,Madonna wouldn't be here if her mother had her attitude .,1,78.25,5.7
15,@Tea Just Tea all lives are equal is the same thing as all lives matter,1,98.55,4.0
16,the tech industry is tough for everyone.  Most people are pushed hard and treated like garbage,1,105.66,5.6
17,Why does BLM only come around every 4 years,1,113.1,1.4
18,Funny thing is,1,119.19,-1.2
19,I'm still hiding my gender to my parents and they don't know I'm dating someone. My friends knows already about my gender and they are very supportive of it. And I'm very thankful to find true friends like them,0,92.12,5.8
20,all lives matter .without that we never have peace so to me forever all lives matter.,0,97.2,3.2
21,Clark thank you. I salute you.,1,102.27,-0.4
22,@J Brown It makes it seem like my opinion doesn't matter when someone gets attacked for holding a All Lives Matter sign.,1,74.53,10.8
23,Yall talking lesbian but I think it more likely that's she'll come out as trans,1,90.09,6.5
24,France France I think you’re the one being dumb.  It’s actually very simple. Did you not know all lives include black lives? If you have a basic understanding of the English language you should understand that.,1,87.72,5.8
25,@Fa1con i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go,1,75.21,17.0
26,Randomgirlwhosings0804 Why does she feel the need to have to agree or not agree with someone’s sexuality? Why does any Christian? it’s really weird. there is nothing for you to “agree” with,0,88.74,5.8
27,the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having a fat guy who happens to have darkish skin is racest... the rock is the voice actor for the character and he seems to be fine with it. Next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes. its not like mr incredible who is white and sorta chubby got this kinda shit.,1,75.24,9.7
28,Excatly!!! Do you know that in South Korea in almost every school there they teach Americans as racist,1,78.59,9.8
29,The big ones stop ruling when the small ones stop crawling.nn2020 The year of the modern revolution,1,79.77,5.8
30,i think at that time,1,117.16,-4.0
31,About performing at Eurovision in Tel Aviv,1,64.37,6.3
32,Is it wrong I laughed when he said beaten with the Bible,1,110.06,2.2
33,All I’m gunna say is I was Presbyterian and “didn’t agree with homosexuality” before I came out ‍,1,62.68,9.3
34,Thank you Madonna for EVERYTHING! You’ve helped me grow up as a kid in West Philadelphia! You inspired me greatly! Much respect and love Queen of Pop! #MadameX,1,106.67,4.3
35,When you've turn-off the reasonable people,1,90.77,10.6
36,Right...that's what he said. You have it all right,1,109.21,2.8
37,she is not 60. He is 60,1,118.68,-8.3
38,@That’s the Tea sis  and thats the tea,1,114.12,0.2
39,White lives matter is considered racist as hell so why isn't Black Lives matter racist also.,1,72.16,9.2
40,The whole thing is a joke...lol  all black lives matter..and the democrats are laughing at the suckers following them down the path to socialism!....crush black lives matter   ALL LIVES MATTER!!!! Its a political move by the democratic socialist party...MAGA!!!! The media is telling and showing you what the dems want them to...except Fox News...good job!!!,1,80.38,8.3
41,Sunshine littlephilly I can’t even imagine how your thought process works... Do you not have the capability to shape your own opinion. Especially on a topic that DOES in fact hurt homosexual people. Whether you believe they should be harmed or not has nothing to do with it. When you publicly state a person is wrong for just living their life,1,84.47,6.5
42,But Sadism isnt evil is it? Unless you're sadistic to unwilling participants. Alot whats considered evil now a days depends actually more or less on your perspectiv of what happens. If i were to hit a dog,1,78.96,4.6
43,And short short hair—,1,118.18,1.8
44,No. i`m black and I`m upset by what I`ve seen. It does nobody any good.,1,106.16,0.2
45,it doesn't matter what your family does when you want to make a career for yourself. what matters is what you can or will do. you're in no better position then the one who comes from a poor family and also wanting to be a video game developer.,0,80.62,5.8
46,All lives matter.... every life fucking matters...,1,84.84,9.9
47,I thought I was watching a recent video but this is 4 years ago but here we are again and the same thing is going to happen,1,86.37,9.0
48,Where has this Sheriff been?,1,100.24,3.7
49,The media and crooked politicians whipped this up. We have to get rid of the lot of them with the ballot.,1,103.12,2.9
50,he was doing just fine before the police officer kept his knee on his neck for 8 minutes and 46 seconds,1,84.0,7.7
51,Bernie never lived in the hood I'd like to see him walk the streets,1,99.57,3.8
52,Black lives matter and not all lives?nWhat hypocrats...,1,71.82,10.8
53,the lesbian disagreeing with homosexuality tho. poor thing is prolly insecure abt it.,1,47.96,8.3
54,Police are already killing people,1,100.24,8.4
55,No liberals think that lmao,1,83.32,2.7
56,Grasielle Alison ha another mom joke,1,48.47,5.9
57,Can you guys stop harassing that girl for her haircut? Seriously. She doesn’t agree with homosexuality but she respects it. The least you could do is respect her back,1,78.55,5.8
58,jazzfan1 When I read your comment it sounds kind of dumb and racist. You act like only white people are slaying only black people daily.,1,101.09,5.9
59,I beg they just put it straight back up,1,113.1,-0.8
60,Agreed! It is straight up abuse in all three formats,1,103.63,3.8
