text,label
Realme india product,2
I also don't have tiktok hello and allnBut I'm using xiaomi,0
Thalaivare..neengale inum one plus mobile vachurukinga...adha udachurunga,1
Annee varanda thondai.. corona virus affect pannum.. neenga pathukonga. Pause koduth pasuga anne. Thondaya varanda vidadhinga,0
5views but 18likes,1
China phone vakathiga inu evanga ellam tiktok la video poduravagal nChina  Phone vendam but China apps maittum use pannuvaga,1
Cisco webex meetings bro,1
Yaaru madan gowriyaa ban panrenu sonnaaru? Yaarukita solringa,1
Sabaash semma aarambam,1
modiji group all no 1 proker group. stupid guy.,1
காற்றில் பரவும் வாய்ப்பு உள்ளது,1
Ovara aatuna oru naal atanki utkarathan pokapothu china,1
Mrs.Sudha moorthy pathi pesungalen...,0
Bro Sony Mobile pathi video potunga bro,0
இருக்குற வேதனையில இது வேறவா... வேறவா... இறைவா....,1
Nan ethuvum use pannala,1
love u mg bye.. bye... take care!!,2
Wo ka bai,1
appo china kitta irukkiradhu sivappu panama.,1
Stop china mobiles,1
Hi solluga bro,0
Ingatha namalum irukomnFirst war start aachuna Srilanka namalatha adipa,1
நீங்க மக்கள செய்தி சொல்லி சாகடிப்ப அதுக்கு அவன் போதும்.,0
யப்பா போதும்யா கடந்த 6 மாசமா பொழுது விடிஞ்சு பொழுது போனா அந்த நோய் வருது இந்த வைரஸ் வருது இப்படியே கேட்டுக்கேட்டு அம்புட்டு பேரும் சைக்கோவா திரியிறோம் விட்டுடுங்கப்பா எங்களை முடிஞ்சா விழிப்புனர்வு வீடியோ போடுங்க இல்லன்னா வேற எதாவது மேட்டர் பேசுங்க கொஞ்ச நாளைக்கு கொரோனாவுக்கு லீவு கொடுங்கப்பா,1
சீனாஏன் வல்லரசுஇருக்குது அதோடஉற்பத்தித் துறைதான் காரணம் அதைவிட தலைசிறந்த பொருள்களைஇந்தியாவை உருவாக்க அதனால்சீனப் பொருளாதாரத்தைநம்மால் வீழ்த்த சீன பொருட்களை சீன செய்தி பயன்படுத்தாமல் எந்த ஒரு பயனும் நம் நாட்டின்உற்பத்தித் துறையைஉலகத் தரத்திற்குஉருவாக்குவதுதான்இதற்குதகுந்ததுபல்லாயிரம் கோடி மக்கள் எங்கள்படித்தவர்கள் பலஅவர்களின் திறமையைஇங்கு உருவாக்கும் பொருட்களை உலகவிற்கலாம்அதனால்நாட்டின் பொருளாதாரம் உயரும்நாட்டு மக்கள் வாழ்வு உயரும்இதுதான் மிகச் சிறந்தவலி,0
Madan nee china ku support pantra maari thonuthunnnNeenga ellam itha pathi theriyanum na nnSIDDHU MOHAN nu oru you tube irukku athula detailed ah irukkum,1
Background மொக்கையா irruku,1
Mg squad,2
toilet paper,2
டேய் இது காத்துல பரவுதான்டா,1
Seekram one plus 8 pro review potunga romba naal waiting nee review potta than mob vanga mutiyum bro,1
Sago nalla message,0
Entha app um en mob la ila,1
Indiaku china nekkathu bro America mistake pannidiga 9.53,0
yen mg kaga wait kooda panna mattangala?,0
Best video u ever made,0
I stopped seeing news,2
Bro tamilnadu college semester pathi konjam sollunga  semester nadakkuma nadakkatha🤔,0
HiMadan please like,0
Bro uc turbo pathi video podunga issues pathi,0
Anna yo WhatsApp...add GP WhatsApp...use pannalama...vendama,1
Mudinja China va world la irunthu ban panirunga,1
Anna fornite game use pnra mari yena yena phones iruku nu slunga na support pnra phone list plz bro,0
China dhan next super power nu Nostradamus predict pannaar la?,0
Bro onga video pathutu en vitla nenga epudi niruthama pesuringa nu keka ranga🤣🤣🤣,0
Anna share it alternative app sollunganna,1
Free fire enna bro,1
Bro tik tok pathila tik kik irukku bro,0
Neenge sonnadhu apramavudhu ushar ayirundha rombo nalla irundhuku.. ippo india attack aychi fulla aychi rombo rombo kashtama iruku ippo... irundhallu inimel avudhu. Care aydunu thank you,0
Voice not clear,2
Chingari  Sarakku Nalla sarakku,1
Ithukum bodhidharmanukum enna similarity,1
Annaa ungalukku Li ziqi ya pidikumaa anaa,1
@HUMAN BEINGS,0
Indha weTV app kuda Chinese app ah?uninstall  pannanuma?,1
நம்ம ஊரு பழமொழி கேனப்பயல் நாட்ல கிறுக்குப்பய நாட்டாமை சூப்பர் ல ஜீ உணர்ச்சிவயப்பட்ட நிலையில் இந்தியா சீனா என்று தவறாக.....,0
இந்தியா தமிழீழத்தை அங்கிகரித்தால் இந்தியாமீது பக்தி வரும் .அல்லது காங்கிரஸ் நேரு குடும்பத்தை அடியோடு அழிக்க வேண்டும்.,0
6 - 8 pm bro,2
You're a biggest loser,2
Sir trronet app vera eruka,0
Spr Ithan sariyana valli,0
MG squad from sl,0
Oppo f11pro review podunga bro,1
Kedi ku avalo scene lam illa avanuku China eppo appu vaika pogudho 🤣🤣,0
Enta shareit thavira vera app ethum ila...,1
All animals kudatha sapamm pro,0
Pubg ku badhil ah free fire try panlaamey bro,0
... நோய் தான வந்திடுது.... நண்பரே... கண்ணுக்கு தெரிந்தால் நம்ம பயலுக கொன்னே போட்ருவாங்க....,1
@jenith music making j pannren yanakun panuga,0
PUBG is korean right?,1
Pubg Chinese app illa,1
